No   Time    G  PAR    F1   F2   F3   F4   Fm1  Fm2  Fm3  Fm4    Y1   Y2   Y3   Y4
 1 11:44:09  5    8   471  202  409  373  1563  733 1299 1208  0.70 0.72 0.69 0.69
 2 11:44:51  5    8   999  435  865  798  1612  781 1366 1293  0.38 0.44 0.37 0.38
 3 11:45:31  5    8   949  411  834  765  1505  735 1312 1228  0.37 0.44 0.36 0.38
 4 11:47:31  5    8   984  434  869  791  1698  853 1492 1385  0.42 0.49 0.42 0.43
 5 11:50:31  5    8  1001  427  847  768  1871  934 1571 1446  0.46 0.54 0.46 0.47
 6 11:50:51  5  464  1231  551 1006  933  1717  839 1416 1321  0.28 0.34 0.29 0.29
 7 11:51:11  5    8   974  420  829  750  1766  855 1453 1346  0.45 0.51 0.43 0.44
 8 11:51:51  5  464  1070  474  880  809  1535  744 1269 1172  0.30 0.36 0.31 0.31
 9 11:52:12  5    8   918  386  765  685  1705  805 1356 1244  0.46 0.52 0.44 0.45
10 11:52:52  5  464  1041  458  844  780  1511  728 1226 1140  0.31 0.37 0.31 0.32
11 11:53:12  5    8   898  375  741  665  1685  789 1330 1230  0.47 0.52 0.44 0.46
12 11:55:12  5  464  1070  471  844  778  1606  776 1278 1190  0.33 0.39 0.34 0.35
13 11:55:32  5    8   899  378  728  653  1801  846 1403 1306  0.50 0.55 0.48 0.50
14 11:57:32  5  464  1083  481  843  779  1656  807 1303 1216  0.35 0.40 0.35 0.36
15 11:57:52  5    8   893  382  716  642  1848  882 1426 1326  0.52 0.57 0.50 0.52
16 12:00:53  5  464  1078  484  825  765  1699  831 1309 1232  0.37 0.42 0.37 0.38
17 12:01:13  5    8   882  382  695  626  1861  898 1422 1330  0.53 0.57 0.51 0.53
