No   Time    G  PAR    F1   F2   F3   F4   Fm1  Fm2  Fm3  Fm4    Y1   Y2   Y3   Y4
 1 15:58:50  5    8   944  431  754  687  1873  941 1506 1402  0.50 0.54 0.50 0.51
 2 15:59:11  5    8  1000  459  791  725  1873 1005 1586 1488  0.47 0.54 0.50 0.51
 3 15:59:51  5    8   983  465  799  736  1873 1029 1626 1531  0.48 0.55 0.51 0.52
 4 16:01:51  5    8   910  430  755  688  1873 1013 1617 1496  0.51 0.58 0.53 0.54
 5 16:04:52  5    8   815  376  669  609  1739  879 1406 1303  0.53 0.57 0.52 0.53
 6 16:05:12  5  564  1087  523  868  817  1594  811 1281 1209  0.32 0.36 0.32 0.32
 7 16:05:32  5    8   859  401  702  637  1707  867 1380 1286  0.50 0.54 0.49 0.50
 8 16:06:12  5  564  1032  502  846  794  1541  803 1300 1232  0.33 0.37 0.35 0.36
 9 16:06:32  5    8   821  382  683  621  1638  820 1338 1254  0.50 0.53 0.49 0.50
10 16:08:32  5  564   989  474  796  743  1523  780 1248 1177  0.35 0.39 0.36 0.37
11 16:08:52  5    8   791  364  644  582  1632  822 1322 1227  0.52 0.56 0.51 0.53
12 16:10:53  5  564  1058  509  836  778  1642  836 1319 1242  0.36 0.39 0.37 0.37
13 16:11:13  5    8   829  382  660  592  1825  901 1418 1313  0.55 0.58 0.53 0.55
14 16:14:13  5  564  1095  516  819  771  1722  865 1316 1260  0.36 0.40 0.38 0.39
15 16:14:33  5    8   838  382  642  581  1865  925 1423 1337  0.55 0.59 0.55 0.57
